Fecha,Metal,Valor,Unidad,,
19-02-2018,Molibdeno,"7,257",¢US/lb,,
19-02-2018,Inventarios,"338,275",TM,,
20-02-2018,Cobre,318.739,¢US/lb,,
20-02-2018,Oro,"1,337.40",US$/ozt,,
20-02-2018,Plata,16.57,US$/ozt,,
20-02-2018,Molibdeno,7.257,¢US/lb,,
20-02-2018,Inventarios,"337,850",TM,,
21-02-2018,Cobre,317.651,¢US/lb,,
21-02-2018,Oro,"1,328.60",US$/ozt,,
21-02-2018,Plata,16.435,US$/ozt,,
21-02-2018,Molibdeno,7.257,¢US/lb,,
21-02-2018,Inventarios,"337,175",TM,,
22-02-2018,Cobre,318.97,¢US/lb,,
22-02-2018,Oro,"1,323.50",US$/ozt,,
22-02-2018,Plata,16.46,US$/ozt,,
22-02-2018,Molibdeno,"334,675",¢US/lb,,
22-02-2018,Inventarios,"334,675",TM,,
23-02-2018,Cobre,320.849,¢US/lb,,
23-02-2018,Oro,"1,328.90",US$/ozt,,
23-02-2018,Plata,16.61,US$/ozt,,
23-02-2018,Molibdeno,7.257,¢US/lb,,
23-02-2018,Inventarios,"332,450",TM,,
26-02-2018,Cobre,322.55,¢US/lb,,
26-02-2018,Oro,"1,339.05",US$/ozt,,
26-02-2018,Plata,16.67,US$/ozt,,
26-02-2018,Molibdeno,7.257,¢US/lb,,
26-02-2018,Inventarios,"331,575",TM,,
27-02-2018,Cobre,318.78,¢US/lb,,
27-02-2018,Oro,"1,332.75",US$/ozt,,
27-02-2018,Plata,16.61,US$/ozt,,
27-02-2018,Molibdeno,7.257,¢US/lb,,
27-02-2018,Inventarios,"330,425",TM,,
28-02-2018,Cobre,315.383,¢US/lb,,
28-02-2018,Oro,"1,333.27",US$/ozt,,
28-02-2018,Plata,18.926,US$/ozt,,
28-02-2018,Molibdeno,7.257,¢US/lb,,
28-02-2018,Inventarios,"330,800",TM,,
01-03-2018,Cobre,310.8,¢US/lb,,
01-03-2018,Oro,"1,311.25",US$/ozt,,
01-03-2018,Plata,16.32,US$/ozt,,
01-03-2018,Molibdeno,7.257,¢US/lb,,
01-03-2018,Inventarios,"328,000",TM,,
02-03-2018,Cobre,321.21,¢US/lb,,
02-03-2018,Oro,"1,316.75",US$/ozt,,
02-03-2018,Plata,16.44,US$/ozt,,
02-03-2018,Molibdeno,7.257,¢US/lb,,
02-03-2018,Inventarios,"324,900",TM,,
05-03-2018,Cobre,310.71,¢US/lb,,
05-03-2018,Oro,"1,326.39",US$/ozt,,
05-03-2018,Plata,16.51,US$/ozt,,
05-03-2018,Molibdeno,7.257,¢US/lb,,
05-03-2018,Inventarios,"322,175",TM,,
06-03-2018,Cobre,316.09,¢US/lb,,
06-03-2018,Oro,"1,324.95",US$/ozt,,
06-03-2018,Plata,16.62,US$/ozt,,
06-03-2018,Molibdeno,7.257,¢US/lb,,
06-03-2018,Inventarios,"319,650",TM,,
07-03-2018,Cobre,311.75,¢US/lb,,
07-03-2018,Oro,"1,332.50",US$/ozt,,
07-03-2018,Plata,16.64,US$/ozt,,
07-03-2018,Molibdeno,7.257,¢US/lb,,
07-03-2018,Inventarios,"1,332.50",TM,,
08-03-2018,Cobre,309.8,¢US/lb,,
08-03-2018,Oro,"1,325.40",US$/ozt,,
08-03-2018,Plata,16.48,US$/ozt,,
08-03-2018,Molibdeno,7.257,¢US/lb,,
08-03-2018,Inventarios,"314,975",TM,,
09-03-2018,Cobre,308.81,¢US/lb,,
09-03-2018,Oro,"1,319.35",US$/ozt,,
09-03-2018,Plata,16.49,US$/ozt,,
09-03-2018,Molibdeno,8.845,¢US/lb,,
09-03-2018,Inventarios,"311,125",TM,,
12-03-2018,Cobre,311.03,¢US/lb,,
12-03-2018,Oro,"1,317.25",US$/ozt,,
12-03-2018,Plata,16.45,US$/ozt,,
12-03-2018,Molibdeno,8.391,¢US/lb,,
12-03-2018,Inventarios,"321,125",TM,,
13-03-2018,Cobre,321.21,¢US/lb,,
13-03-2018,Oro,"1,318.70",US$/ozt,,
13-03-2018,Plata,16.51,US$/ozt,,
13-03-2018,Molibdeno,9.299,¢US/lb,,
13-03-2018,Inventarios,"321,475",TM,,
14-03-2018,Cobre,318.2,¢US/lb,,
14-03-2018,Oro,"1,324.95",US$/ozt,,
14-03-2018,Plata,16.6,US$/ozt,,
14-03-2018,Molibdeno,9.525,¢US/lb,,
14-03-2018,Inventarios,"319,825",TM,,
15-03-2018,Cobre,312.32,¢US/lb,,
15-03-2018,Oro,"1,323.35",US$/ozt,,
15-03-2018,Plata,16.52,US$/ozt,,
15-03-2018,Molibdeno,9.752,¢US/lb,,
